185,Yes
2715,No
3825,No
1807,Yes
132,No
1263,Yes
3732,No
1672,No
811,Yes
2526,Yes
2892,No
4129,No
2622,No
3801,Yes
4357,No
6179,Yes
5275,Yes
4640,Yes
833,No
5194,Yes
3328,No
101,No
6298,No
1090,No
1744,No
6486,Yes
6370,Yes
1882,No
3469,No
2310,No
6185,No
2726,No
696,No
1483,No
1158,No
3032,No
7037,No
4645,Yes
6112,No
4395,Yes
1662,Yes
1345,No
4343,Yes
6119,No
2873,Yes
1084,No
177,Yes
5556,Yes
4810,Yes
6608,Yes
393,No
6006,No
3107,No
1817,No
1075,No
2653,No
2164,No
3872,No
1317,No
3254,No
3425,No
3658,No
3513,No
2177,No
3593,Yes
4852,No
1375,No
2533,No
3914,No
3012,No
6633,Yes
321,No
742,Yes
1149,Yes
1188,No
2903,No
4333,No
2576,No
2977,No
2678,No
37,No
1795,Yes
1328,No
5972,Yes
2579,No
3172,Yes
2638,Yes
4464,Yes
676,No
5421,No
5060,No
6685,No
535,No
6180,No
233,No
1379,No
734,No
3802,No
2167,Yes
4714,No
1042,No
5810,Yes
3406,No
6010,No
2110,No
1509,Yes
2742,No
3077,No
319,No
2929,No
1057,Yes
1153,No
6026,No
50,No
5574,No
1862,No
6003,No
511,No
435,No
5955,No
3399,No
2333,No
2354,No
6151,Yes
4350,No
3518,No
5653,Yes
2283,Yes
764,No
543,Yes
3129,No
2323,Yes
5698,Yes
2654,Yes
2758,No
5313,No
5070,Yes
3710,No
263,No
4900,Yes
2206,Yes
2963,No
6283,Yes
1397,No
6699,No
2402,No
3668,No
6340,No
429,No
5735,No
3904,No
3381,No
5057,No
6833,No
1414,No
6359,No
230,No
3932,Yes
5478,No
789,No
472,No
1079,No
245,No
1536,No
2239,No
4466,Yes
544,Yes
1302,No
6744,No
4189,No
3422,No
408,Yes
79,No
4844,No
3934,No
5354,No
6611,No
1606,No
1223,Yes
473,No
3276,Yes
932,No
4739,No
468,No
6261,No
3862,No
3185,Yes
3837,Yes
3078,Yes
3437,No
3103,Yes
2080,No
6737,No
3218,No
5749,No
1452,No
3615,Yes
217,No
4235,No
4086,No
6411,No
3299,No
3256,No
5736,No
5753,No
4660,Yes
4032,No
3936,No
3360,Yes
5823,No
1406,No
4407,No
3916,No
1443,No
4631,Yes
994,No
3855,No
4791,No
332,No
6059,No
1287,No
4359,No
3204,No
5612,No
5979,No
1061,No
4439,No
2351,No
3527,Yes
711,No
2704,No
3285,No
5495,Yes
3263,No
970,Yes
2299,No
2954,Yes
752,No
3782,No
2943,No
4608,No
5642,No
1144,Yes
5477,No
3977,No
5314,No
3149,No
3592,Yes
239,No
5489,No
3887,Yes
3289,No
4913,No
5010,No
4096,No
3910,Yes
3412,No
2034,No
2509,No
3295,No
5404,No
3142,Yes
6779,No
3063,No
6057,No
6580,No
4672,No
2692,No
6534,No
1965,Yes
2585,No
6527,Yes
2683,Yes
842,Yes
2572,No
3880,No
1820,No
1087,No
5107,No
2746,No
503,No
6248,No
3045,No
4274,No
4527,Yes
585,Yes
6933,Yes
937,Yes
5159,No
437,No
5014,No
4374,No
4047,No
3573,No
5819,No
2574,Yes
169,No
6035,Yes
5533,No
1916,Yes
5048,No
957,No
1025,No
6393,No
4205,No
1616,No
6621,No
3948,No
2691,No
1650,Yes
1870,No
5357,No
179,No
2412,Yes
3559,No
3494,Yes
3968,No
4652,No
6131,Yes
6178,No
31,No
3653,No
5128,No
1330,No
2519,No
733,No
168,Yes
2298,No
1451,No
3601,No
2149,No
5141,No
2087,Yes
2741,Yes
6076,No
6469,No
4936,No
4689,No
2118,No
4398,No
5067,No
3433,No
2676,No
2609,Yes
1097,Yes
4864,No
5682,No
1219,No
6485,No
2851,No
4951,No
3319,Yes
2759,No
381,Yes
6586,No
4375,No
3240,Yes
1599,No
6773,Yes
4446,Yes
3626,No
3639,No
6269,No
2445,No
4251,No
1410,Yes
2029,Yes
2303,Yes
6388,Yes
80,Yes
1174,No
3305,No
6267,Yes
5844,No
95,Yes
576,No
2542,No
6477,No
2405,Yes
4453,Yes
5251,Yes
592,No
6309,No
4264,No
4198,No
3332,Yes
5640,Yes
5916,No
1867,Yes
496,No
1020,No
2627,No
7036,No
2275,Yes
5926,No
2477,No
5591,Yes
3187,No
6107,No
5792,Yes
4424,Yes
6085,Yes
6609,Yes
3196,No
457,No
6137,Yes
6942,No
1393,No
1056,Yes
4789,Yes
3277,No
5045,No
1002,No
3505,No
6812,No
1242,No
3458,Yes
534,Yes
2184,Yes
2249,No
2663,No
3464,No
5525,No
1041,No
4842,Yes
5863,Yes
4325,No
3153,No
2168,Yes
4144,No
2594,No
2748,Yes
5995,No
6547,No
6004,No
6168,Yes
538,No
61,No
2815,Yes
1634,No
2302,No
3844,Yes
996,Yes
5081,No
1652,No
5678,Yes
1038,No
5120,Yes
3901,No
6512,No
4387,No
852,No
2245,No
2095,Yes
19,No
4824,No
3346,No
6638,No
642,Yes
865,Yes
5595,No
1665,No
6859,No
6072,No
3929,No
3785,Yes
1499,No
4837,Yes
6133,No
736,No
1192,Yes
6490,No
5337,No
4505,No
469,Yes
5948,No
3221,No
4746,Yes
4229,No
6266,Yes
247,Yes
3753,No
6819,Yes
6927,No
4619,Yes
5094,No
5650,No
5508,No
500,No
1726,No
2399,No
3703,No
6964,No
1737,No
3484,No
4028,No
3805,Yes
228,No
1467,No
1978,No
800,No
17,No
5473,No
6880,No
1801,No
2825,No
5942,Yes
6606,Yes
960,No
6539,No
2949,No
1615,No
5763,No
2821,Yes
3651,No
1888,No
706,No
2287,Yes
6088,Yes
2651,Yes
625,No
1718,No
4832,No
3504,No
5245,No
1103,No
1244,Yes
96,No
3480,No
1005,No
1261,No
1078,No
156,No
4656,No
4411,No
2077,Yes
6634,Yes
425,No
6994,No
3617,Yes
2623,No
447,No
5453,No
3698,No
2210,No
4019,Yes
3973,No
2934,No
6569,No
3692,No
4713,No
2771,No
4192,No
1199,No
6404,No
5381,Yes
5941,No
3018,No
5190,No
93,No
4471,Yes
1321,No
5756,No
4456,No
1595,Yes
2348,No
5688,No
4584,No
476,No
5458,Yes
2432,No
5965,No
3460,No
1034,No
1775,No
6284,No
2835,No
2031,No
3820,No
1559,No
2592,No
4288,Yes
487,No
3320,No
1115,No
6156,No
4615,No
561,No
1730,Yes
3262,Yes
4334,No
756,No
334,Yes
4507,No
5400,No
2705,No
23,No
6849,No
2124,Yes
4401,No
2229,No
3578,No
6579,No
1926,Yes
3362,Yes
1859,Yes
1277,No
5648,No
4755,No
6578,No
6152,Yes
3197,Yes
712,No
6686,No
3244,No
3207,No
2407,Yes
4862,Yes
4013,No
5294,No
6033,Yes
6297,No
